,정류장명,24시~1시,1시~2시,2시~3시,3시~4시,4시~5시,5시~6시,6시~7시,7시~8시,8시~9시,9시~10시,10시~11시,11시~12시,12시~13시,13시~14시,14시~15시,15시~16시,16시~17시,17시~18시,18시~19시,19시~20시,20시~21시,21시~22시,22시~23시,23시~24시,X좌표,Y좌표,_ROAD_AD
0,한성여객종점,9870.0,3649.0,1785.0,10871.0,6611.0,4089.0,12999.0,42937.0,47574.0,32502.0,29287.0,28999.0,34893.0,36063.0,36499.0,39098.0,48338.0,49968.0,53706.0,43814.0,30822.0,37834.0,28589.0,14958.0,127.0705249959,37.6374748773,서울특별시 노원구 한글비석로 77
1,하계1동주민센터,3010.0,0.0,0.0,0.0,512.0,9358.0,30472.0,51421.0,55004.0,39719.0,42498.0,40679.0,45424.0,44087.0,45910.0,52953.0,72136.0,56866.0,60183.0,45326.0,43975.0,46880.0,51226.0,14448.0,127.0728303267,37.6404263202,서울특별시 노원구 노원로 259
2,숭곡초교입구,21872.0,2270.0,0.0,0.0,0.0,1820.0,12533.0,37249.0,70149.0,37414.0,39026.0,46167.0,60146.0,65594.0,67308.0,80217.0,92969.0,98129.0,98695.0,80191.0,67975.0,56713.0,55765.0,34401.0,127.0322405345,37.6099346062,서울특별시 성북구 종암로40길 42
3,창문여고,43509.0,4413.0,0.0,0.0,0.0,18045.0,43549.0,135329.0,193096.0,112001.0,124418.0,131960.0,149325.0,162446.0,160876.0,228566.0,288500.0,265517.0,302339.0,270311.0,197034.0,189354.0,179853.0,93987.0,127.0358638935,37.6121340119,서울특별시 강북구 월계로 57
4,동방고개,7208.0,943.0,0.0,0.0,0.0,1520.0,4901.0,16781.0,27008.0,14294.0,10395.0,9227.0,12357.0,13366.0,13471.0,17770.0,21746.0,18865.0,23560.0,22045.0,17111.0,13637.0,13691.0,10627.0,127.0383227067,37.6137524896,서울특별시 성북구 월계로 88
5,장위동그린빌아파트,8311.0,1066.0,0.0,0.0,0.0,840.0,4746.0,17733.0,29333.0,14216.0,11569.0,15126.0,19923.0,24156.0,21244.0,24738.0,32410.0,39792.0,42827.0,39337.0,26231.0,23832.0,24077.0,13488.0,127.0430066211,37.6177787253,서울특별시 성북구 돌곶이로41가길 54
6,북서울꿈의숲,29088.0,4200.0,1344.0,798.0,18202.0,32197.0,83319.0,222183.0,270382.0,156086.0,136614.0,139681.0,163609.0,176430.0,195381.0,218231.0,240028.0,261779.0,248970.0,217221.0,150446.0,159145.0,117151.0,62904.0,127.0444485185,37.6194253735,서울특별시 성북구 월계로 170
7,장월초등학교,22392.0,3724.0,1407.0,630.0,567.0,546.0,14965.0,81105.0,96642.0,50405.0,42143.0,43047.0,45400.0,53187.0,57222.0,57996.0,75119.0,83403.0,91764.0,83267.0,57305.0,56649.0,53352.0,37686.0,127.0487105636,37.6234659543,서울특별시 강북구 월계로 227
8,롯데캐슬루나아파트,16181.0,3292.0,924.0,546.0,630.0,840.0,12274.0,84190.0,105963.0,60314.0,41981.0,41543.0,47113.0,50643.0,60910.0,66229.0,81787.0,75368.0,76783.0,54950.0,42357.0,42827.0,42785.0,30374.0,127.051303919,37.6253859655,서울특별시 노원구 월계로 264
9,인덕대앞,20903.0,4491.0,1239.0,399.0,1050.0,14661.0,51999.0,163494.0,235449.0,210219.0,118741.0,98270.0,132643.0,155921.0,134791.0,130795.0,173857.0,175333.0,144276.0,92584.0,67411.0,76719.0,62778.0,31119.0,127.0547376407,37.6295406121,서울특별시 노원구 초안산로 19
