,지역,24시~1시,1시~2시,2시~3시,3시~4시,4시~5시,5시~6시,6시~7시,7시~8시,8시~9시,9시~10시,10시~11시,11시~12시,12시~13시,13시~14시,14시~15시,15시~16시,16시~17시,17시~18시,18시~19시,19시~20시,20시~21시,21시~22시,22시~23시,23시~24시,총합
0,서울 강남구 개포동,251089.0,35997.0,6901.0,4875.0,152635.0,557750.0,1388171.0,2921897.0,4243153.0,2805515.0,2106288.0,1914085.0,2083169.0,2298472.0,2321289.0,2733126.0,3463550.0,3533377.0,3682071.0,2525657.0,1774474.0,1743275.0,1647730.0,719204.0,44913750.0
1,서울 강남구 논현동,172890.0,3904.0,3344.0,1496.0,96125.0,588043.0,946624.0,1986855.0,4585633.0,4574348.0,2467630.0,1764672.0,1766407.0,1961158.0,2023669.0,2197186.0,2351817.0,3040351.0,4308835.0,2912413.0,1853416.0,1835306.0,1540303.0,746499.0,43728924.0
2,서울 강남구 대치동,409771.0,81432.0,28240.0,22545.0,124141.0,560532.0,1198021.0,3379724.0,5332678.0,3923200.0,2751157.0,2523894.0,2989926.0,3560535.0,3419260.0,4096700.0,5190693.0,5580283.0,5616239.0,3849021.0,2716934.0,3310529.0,3685840.0,1101011.0,65452306.0
3,서울 강남구 도곡동,239179.0,29782.0,4970.0,1563.0,73371.0,405362.0,1003364.0,2796380.0,4370947.0,3027282.0,1952520.0,1777771.0,1888593.0,2078918.0,2080082.0,2367831.0,2799785.0,3257728.0,3906769.0,2398727.0,1716157.0,1673157.0,1543348.0,631551.0,42025137.0
4,서울 강남구 삼성동,427957.0,111524.0,64483.0,67636.0,205162.0,950870.0,1739499.0,4114220.0,8543022.0,6091907.0,3411806.0,2895828.0,3064822.0,3384365.0,3317124.0,3621847.0,4109290.0,5294303.0,7069885.0,4087331.0,2855543.0,2810962.0,2458428.0,1104971.0,71802785.0
5,서울 강남구 세곡동,89310.0,28888.0,5326.0,0.0,30514.0,179349.0,566646.0,1334571.0,1721988.0,923012.0,680802.0,608945.0,714453.0,733342.0,722957.0,943231.0,1184393.0,1184928.0,1365562.0,1003973.0,671733.0,602175.0,579327.0,285825.0,16161250.0
6,서울 강남구 수서동,103967.0,22022.0,2514.0,400.0,48927.0,158915.0,480453.0,955175.0,1343808.0,907485.0,676426.0,641037.0,758540.0,775655.0,734851.0,978442.0,1157783.0,1250444.0,1570168.0,1120853.0,819533.0,749426.0,669663.0,333030.0,16259517.0
7,서울 강남구 신사동,211810.0,11952.0,3938.0,3432.0,102982.0,664606.0,668527.0,1217357.0,2382041.0,2414499.0,1549811.0,1443231.0,1503954.0,1697129.0,1802217.0,1948227.0,2085423.0,2445828.0,3162282.0,2350224.0,1725770.0,1619200.0,1397591.0,710734.0,33122765.0
8,서울 강남구 압구정동,80916.0,1509.0,0.0,0.0,46238.0,140612.0,197173.0,465004.0,688506.0,691848.0,530883.0,529266.0,577376.0,661521.0,678473.0,778793.0,872549.0,903537.0,976710.0,779638.0,587223.0,588260.0,532866.0,241785.0,11550686.0
9,서울 강남구 역삼동,944609.0,337861.0,223985.0,185512.0,327060.0,1210101.0,2194435.0,5191362.0,9032577.0,7656509.0,4894155.0,4142840.0,4534276.0,5036742.0,4917769.0,5279589.0,5810342.0,7402732.0,9161760.0,6315392.0,4429852.0,4517397.0,4280474.0,2131822.0,100159153.0
10,서울 강남구 일원동,80875.0,10825.0,1478.0,240.0,32127.0,127318.0,536464.0,1340014.0,1391594.0,937071.0,807166.0,732581.0,805158.0,880127.0,918215.0,1127318.0,1424446.0,1434838.0,1331972.0,1004129.0,735863.0,695594.0,723742.0,314753.0,17393908.0
11,서울 강남구 청담동,164123.0,30260.0,25769.0,25157.0,91754.0,469551.0,698939.0,1244139.0,2951047.0,2848477.0,1635026.0,1282984.0,1277489.0,1425400.0,1444296.0,1565533.0,1755598.0,2086906.0,2933530.0,1961726.0,1368070.0,1365513.0,1175722.0,560442.0,30387451.0
12,서울 강동구 강일동,114719.0,43658.0,11050.0,9112.0,90769.0,211456.0,481236.0,1168785.0,1114434.0,634702.0,507750.0,479921.0,526320.0,542302.0,520375.0,606022.0,738888.0,754787.0,855966.0,814015.0,534072.0,468292.0,431621.0,249352.0,11909604.0
