,지역,24시~1시,1시~2시,2시~3시,3시~4시,4시~5시,5시~6시,6시~7시,7시~8시,8시~9시,9시~10시,10시~11시,11시~12시,12시~13시,13시~14시,14시~15시,15시~16시,16시~17시,17시~18시,18시~19시,19시~20시,20시~21시,21시~22시,22시~23시,23시~24시,총합
0,서울 강남구,3176496.0,705956.0,370948.0,312856.0,1331036.0,6013009.0,11618316.0,26946698.0,46586994.0,36801153.0,23463670.0,20257134.0,21964163.0,24493364.0,24380202.0,27637823.0,32205669.0,37415255.0,45085783.0,30309084.0,21254568.0,21510794.0,20235034.0,8881627.0,492957632.0
1,서울 강동구,1088796.0,249410.0,106532.0,81934.0,495546.0,1874889.0,4394867.0,10564369.0,12328954.0,8248496.0,6446020.0,6147590.0,6717964.0,7107400.0,7007531.0,8204938.0,9918151.0,10138121.0,11498227.0,9308936.0,6601954.0,6151312.0,5811362.0,2972781.0,143466080.0
2,서울 강북구,2111926.0,620510.0,114423.0,127062.0,2365379.0,4284654.0,6838233.0,15094198.0,20636797.0,14180538.0,11871889.0,11929965.0,12831017.0,13358363.0,13732965.0,15575509.0,17501534.0,18214286.0,19697733.0,16133022.0,11690692.0,10203582.0,9104978.0,5354331.0,253573586.0
3,서울 강서구,1255447.0,173225.0,90180.0,85095.0,1507583.0,3103254.0,6158592.0,15161917.0,20423455.0,13185895.0,9881882.0,9700900.0,10545161.0,11173495.0,10992793.0,12664772.0,14486766.0,15466539.0,18604674.0,14007665.0,9992203.0,9304124.0,8335604.0,3981636.0,220282857.0
4,서울 관악구,2072883.0,280592.0,271561.0,247591.0,1715238.0,6091113.0,10571323.0,23363074.0,31885269.0,23423151.0,17288638.0,15596345.0,17538349.0,18242792.0,17660349.0,20333475.0,23358715.0,25573497.0,30149182.0,24888183.0,18555753.0,17161853.0,15614081.0,9225728.0,371108735.0
5,서울 광진구,861169.0,320617.0,217412.0,185108.0,659144.0,2093078.0,3412272.0,7100230.0,10788699.0,7352361.0,5366758.0,4972831.0,5493793.0,5830358.0,5889457.0,6761624.0,7796590.0,8595126.0,10304636.0,7960428.0,5840851.0,5555965.0,4939733.0,2625202.0,120923442.0
6,서울 구로구,1127649.0,178791.0,125546.0,116116.0,1854029.0,3371235.0,6344487.0,14746854.0,18779900.0,12428050.0,9344105.0,8451637.0,9361955.0,9614739.0,9513682.0,10948061.0,13130514.0,14681868.0,16758060.0,12836637.0,8867905.0,8215579.0,7193888.0,3889633.0,201880920.0
7,서울 금천구,518348.0,48428.0,52535.0,62767.0,1001968.0,2278807.0,3766156.0,9157004.0,13039826.0,8080593.0,5274703.0,4899582.0,5342282.0,5506225.0,5531913.0,6390941.0,7671928.0,9263961.0,11132005.0,8544460.0,5682659.0,5010681.0,4115540.0,2251923.0,124625235.0
8,서울 노원구,1611047.0,350293.0,135740.0,146728.0,1363009.0,3184404.0,6444501.0,16617390.0,19686899.0,13809416.0,11141365.0,10918825.0,12132160.0,13038592.0,12737278.0,14197682.0,16890777.0,17175201.0,18053467.0,14768120.0,10831739.0,10220445.0,9572983.0,4796124.0,239824185.0
9,서울 도봉구,1574010.0,500348.0,101378.0,138274.0,1523963.0,3007319.0,5788372.0,13386841.0,16698171.0,11256212.0,9066649.0,8612900.0,9271950.0,9526786.0,9541316.0,10694580.0,12487163.0,13026889.0,14568600.0,12136717.0,8494590.0,7425586.0,6556257.0,3749539.0,189134410.0
