,지하철명,4시~5시,5시~6시,6시~7시,7시~8시,8시~9시,9시~10시,10시~11시,11시~12시,12시~13시,13시~14시,14시~15시,15시~16시,16시~17시,17시~18시,18시~19시,19시~20시,20시~21시,21시~22시,22시~23시,23시~24시,24시~1시,1시~2시,2시~3시,3시~4시,X좌표,Y좌표,주소
0,서울역,1258.0,28859.0,114789.0,283273.0,510507.0,377911.0,245078.0,247329.0,275628.0,275440.0,237136.0,293668.0,331178.0,457467.0,551540.0,321560.0,221346.0,216278.0,147526.0,70662.0,11054.0,473.0,0.0,0.0,126.969769,37.553247,"405, 한강대로, 남영동, 동자동, 서울, 04320, 대한민국"
1,시청,205.0,9095.0,45378.0,144841.0,436011.0,224159.0,107426.0,115367.0,115164.0,127340.0,134231.0,149645.0,170352.0,259488.0,399021.0,150971.0,117196.0,106557.0,67690.0,26738.0,5499.0,86.0,0.0,0.0,126.975411,37.563588,"대양빌딩, 서소문로, 소공동, 중구, 서울, 04515, 대한민국"
2,종각,87.0,8013.0,27186.0,106842.0,256894.0,169651.0,82654.0,84069.0,83877.0,92717.0,94978.0,105848.0,116749.0,194723.0,266695.0,116260.0,91103.0,94650.0,68702.0,32019.0,2806.0,14.0,0.0,0.0,126.982923,37.570161,"서울 한양도성, 성북로, 성북동, 성북구, 서울, 02880, 대한민국"
3,종로3가,291.0,10364.0,32197.0,66620.0,175634.0,172194.0,154528.0,173421.0,191173.0,200646.0,205316.0,210233.0,222384.0,260775.0,313421.0,170193.0,121619.0,124070.0,94165.0,45883.0,8511.0,90.0,0.0,0.0,126.990305,37.57254,"서울한양도성, 성북로, 성북동, 성북구, 서울, 02880, 대한민국"
4,종로5가,30.0,5451.0,17661.0,47009.0,107257.0,79181.0,74824.0,86535.0,93925.0,98699.0,103734.0,102577.0,101829.0,122121.0,128534.0,65070.0,42666.0,37182.0,25152.0,9826.0,1126.0,17.0,0.0,0.0,127.001849,37.570926,"종로5가, 종로, 종로3가, 종로5·6가동, 종로구, 서울, 03129, 대한민국"
5,동대문,973.0,19510.0,32449.0,65228.0,120691.0,119401.0,112473.0,118036.0,122340.0,123319.0,132823.0,131979.0,136131.0,154447.0,121148.0,83529.0,61252.0,55552.0,38485.0,23046.0,4679.0,325.0,1.0,0.0,127.009287,37.57093,"동대문, 율곡로, 종로5·6가동, 종로구, 서울, 04563, 대한민국"
6,신설동,508.0,14932.0,24884.0,61614.0,128022.0,79524.0,58570.0,57880.0,58819.0,64294.0,62430.0,66453.0,75495.0,91388.0,115532.0,57161.0,38432.0,35248.0,27701.0,15266.0,3944.0,303.0,0.0,0.0,127.023242,37.576095,"신설동, 보문로, 숭인2동, 종로구, 서울, 02586, 대한민국"
7,제기동,407.0,7022.0,16887.0,41906.0,73873.0,55599.0,61534.0,76584.0,85124.0,91279.0,90822.0,87732.0,79760.0,69263.0,64544.0,36351.0,23769.0,19683.0,15681.0,8375.0,1544.0,1.0,0.0,0.0,127.034893,37.578103,"왕산로, 용신동, 동대문구, 서울, 02566, 대한민국"
8,청량리,2155.0,23369.0,58248.0,101195.0,156911.0,121863.0,131180.0,131985.0,140220.0,155550.0,151673.0,167185.0,170234.0,160820.0,181026.0,111774.0,81650.0,70632.0,46180.0,23796.0,7052.0,17.0,3.0,0.0,127.0483,37.580759,"214, 왕산로, 전농1동, 동대문구, 서울, 02490, 대한민국"
9,동묘앞,332.0,9549.0,17406.0,33880.0,72729.0,60286.0,57108.0,71266.0,83713.0,97943.0,99261.0,96617.0,93641.0,85672.0,68463.0,40190.0,28019.0,26280.0,22351.0,14920.0,3924.0,441.0,1.0,0.0,127.015653,37.572279,"동묘앞, 지봉로, 창신1동, 종로구, 서울, 03121, 대한민국"
10,을지로입구,96.0,4974.0,29588.0,130927.0,360020.0,195590.0,101385.0,102632.0,99348.0,110898.0,111678.0,123617.0,139476.0,225172.0,357417.0,158031.0,131924.0,100544.0,72893.0,31782.0,7435.0,812.0,0.0,0.0,126.982618,37.566014,"을지로입구역 4번 출구, 을지로, 명동, 중구, 서울, 04539, 대한민국"
11,을지로3가,51.0,4444.0,33314.0,111678.0,280743.0,136354.0,76869.0,72839.0,73007.0,81369.0,82265.0,86973.0,104203.0,185527.0,274802.0,116663.0,78102.0,78623.0,63060.0,35428.0,7267.0,78.0,0.0,0.0,126.992548,37.566672,"양미옥, 충무로, 을지로동, 중구, 서울, 03192, 대한민국"
12,을지로4가,10.0,3576.0,25088.0,58954.0,140211.0,77348.0,54450.0,56832.0,57212.0,61011.0,62464.0,63830.0,71766.0,111219.0,135492.0,57824.0,34877.0,30957.0,22290.0,11452.0,3124.0,53.0,0.0,0.0,126.998032,37.567352,"55-1, 창경궁로, 을지로동, 주교동, 서울, 04545, 대한민국"
13,동대문역사문화공원,681.0,14101.0,32868.0,73791.0,172881.0,110394.0,89172.0,93800.0,98472.0,103696.0,112730.0,119515.0,131362.0,169064.0,205726.0,126605.0,89543.0,84886.0,62688.0,34655.0,9779.0,243.0,0.0,0.0,127.005353,37.564665,"탄드르, 마른내로, 대지 세운상가군, 광희동, 중구, 서울, 04558, 대한민국"
14,신당,112.0,13819.0,31046.0,65519.0,132255.0,85324.0,60280.0,58946.0,65584.0,68195.0,65267.0,69119.0,84538.0,102656.0,131198.0,87858.0,60649.0,56283.0,51179.0,29968.0,8740.0,62.0,0.0,0.0,127.016146,37.566154,"신당, 다산로, 2통, 신당동, 중구, 서울, 04569, 대한민국"
15,상왕십리,44.0,6313.0,19357.0,53508.0,102334.0,56176.0,35306.0,31768.0,35604.0,35891.0,36097.0,39757.0,47310.0,61264.0,82712.0,53665.0,34888.0,32393.0,27198.0,15005.0,5019.0,34.0,0.0,0.0,127.029354,37.564354,"상왕십리, 374, 왕십리로, 35통, 왕십리2동, 성동구, 서울, 04707, 대한민국"
16,왕십리,1909.0,18212.0,36784.0,90992.0,176092.0,116979.0,84503.0,86157.0,99934.0,106040.0,106945.0,120621.0,145010.0,182049.0,236976.0,154641.0,112874.0,112915.0,103818.0,55899.0,17818.0,407.0,1.0,0.0,127.037059,37.56184,"고산자로14길, 행당1동, 성동구, 서울, 04744, 대한민국"
17,한양대,17.0,1375.0,8882.0,19680.0,75388.0,64825.0,63071.0,38836.0,60159.0,47058.0,48914.0,56765.0,59079.0,70673.0,66317.0,29748.0,24057.0,25536.0,16941.0,9239.0,2841.0,13.0,3.0,0.0,127.043655,37.555273,"206, 왕십리로, 사근동, 성동구, 서울, 04763, 대한민국"
18,뚝섬,8.0,5560.0,24265.0,56236.0,166018.0,112894.0,57132.0,48433.0,51997.0,58152.0,59188.0,67035.0,79324.0,112199.0,179961.0,89227.0,55004.0,51443.0,36960.0,16990.0,4345.0,107.0,0.0,0.0,127.047367,37.547184,"뚝섬, 18, 아차산로, 성수1가1동, 성동구, 서울, 04793, 대한민국"
19,성수,61.0,9750.0,39837.0,99489.0,313783.0,186499.0,90113.0,78362.0,83686.0,95203.0,99391.0,108601.0,126043.0,196828.0,325758.0,154671.0,97002.0,88122.0,65441.0,30569.0,10027.0,1073.0,1.0,0.0,127.055961,37.544581,"100, 아차산로, 성수2가3동, 성동구, 서울, 04793, 대한민국"
20,건대입구,407.0,22318.0,50258.0,110647.0,225731.0,165879.0,124708.0,123660.0,141012.0,152197.0,154359.0,169585.0,198955.0,255631.0,328008.0,225334.0,169226.0,164946.0,152734.0,87080.0,24610.0,1306.0,0.0,0.0,127.071011,37.540786,"건대입구역사거리, 건대병원, 능동로, 모진동, 화양동, 광진구, 서울, 05011, 대한민국"
21,구의,70.0,15695.0,44052.0,85580.0,160848.0,97904.0,57420.0,50875.0,53825.0,56423.0,55750.0,63950.0,78924.0,96761.0,142075.0,93446.0,61462.0,58742.0,53798.0,29124.0,9078.0,161.0,1.0,0.0,127.085916,37.537077,"아차산로, 자양2동, 광진구, 서울, 05026, 대한민국"
22,강변,32.0,11737.0,49733.0,105729.0,170423.0,127498.0,103379.0,90574.0,93457.0,94830.0,95276.0,107993.0,117634.0,141465.0,178919.0,125499.0,90552.0,73171.0,59077.0,28159.0,7094.0,98.0,0.0,0.0,127.094681,37.535095,"강변, 53, 강변역로, 구의3동, 광진구, 서울, 05116, 대한민국"
23,잠실나루,35.0,5267.0,21921.0,61556.0,91825.0,58940.0,45511.0,41295.0,44510.0,44494.0,43996.0,46420.0,51731.0,66148.0,72707.0,44824.0,30058.0,26047.0,22903.0,11848.0,3235.0,81.0,0.0,0.0,127.10379,37.520733,"잠실나루, 20, 오금로, 행정동, 송파구, 서울, 05504, 대한민국"
24,잠실,134.0,21097.0,94987.0,245182.0,453165.0,362662.0,239021.0,236344.0,242450.0,258530.0,269335.0,307415.0,350464.0,459221.0,593553.0,378754.0,311910.0,281071.0,203351.0,82793.0,17466.0,277.0,0.0,0.0,127.104338,37.514692,"서울교통공사 잠실승무사업소, 올림픽로, 잠실6동, 송파구, 서울, 05551, 대한민국"
25,잠실새내,56.0,5822.0,25504.0,73303.0,114502.0,83373.0,59583.0,57509.0,63343.0,66193.0,64705.0,73186.0,81662.0,102808.0,131565.0,90565.0,62940.0,57305.0,52434.0,27877.0,8166.0,154.0,0.0,0.0,127.086162,37.511687,"리센츠상가, 올림픽로, 잠실2동, 송파구, 서울, 05502, 대한민국"
26,종합운동장,13.0,4076.0,20403.0,54179.0,77486.0,50384.0,39536.0,38493.0,46647.0,43463.0,39199.0,44432.0,62702.0,66895.0,83621.0,53023.0,34191.0,39015.0,32552.0,12199.0,3176.0,160.0,1.0,0.0,127.076275,37.511426,"잠실종합운동장, 25, 올림픽로, 잠실7동, 잠실동, 서울, 05500, 대한민국"
27,삼성,215.0,10448.0,49756.0,149198.0,370310.0,279675.0,142488.0,122665.0,122390.0,144502.0,146235.0,158381.0,186158.0,293282.0,385076.0,193864.0,135230.0,113902.0,74447.0,24084.0,6560.0,1293.0,0.0,0.0,127.06316,37.508844,"삼성, 538, 테헤란로, 대치2동, 강남구, 서울, 06182, 대한민국"
28,선릉,219.0,13792.0,67713.0,185896.0,480800.0,380244.0,201700.0,149370.0,150384.0,171040.0,164598.0,180816.0,222036.0,333047.0,473980.0,235683.0,143372.0,135523.0,110140.0,44182.0,10356.0,241.0,0.0,0.0,127.048807,37.504856,"선릉역 8번출구, 선릉로, 삼성동, 강남구, 서울, 06153, 대한민국"
29,역삼,28.0,10683.0,47644.0,160323.0,403400.0,353751.0,161359.0,103333.0,99673.0,113142.0,111042.0,124602.0,143102.0,279339.0,356894.0,195743.0,114295.0,103967.0,73816.0,31219.0,7661.0,85.0,0.0,0.0,127.036456,37.500622,"역삼역 2번출구, 테헤란로, 역삼동, 강남구, 서울, 06133, 대한민국"
30,강남,156.0,20675.0,69422.0,183825.0,369019.0,359810.0,199501.0,167152.0,177023.0,207463.0,203473.0,228284.0,258935.0,384221.0,495873.0,313654.0,215825.0,224766.0,197175.0,96632.0,23288.0,101.0,0.0,0.0,127.028104,37.496837,"강남역서초현대타워앞, 강남대로, 서초동, 서초구, 서울, 06621, 대한민국"
31,교대,118.0,11603.0,50435.0,110262.0,265054.0,234249.0,131166.0,122005.0,121807.0,136577.0,140482.0,146239.0,157116.0,238328.0,315977.0,156715.0,116216.0,112677.0,90176.0,37787.0,9703.0,18.0,1.0,0.0,127.013786,37.493025,"교대(법원·검찰청), 서초중앙로, 서초3동, 서초구, 서울, 06604, 대한민국"
32,서초,35.0,7007.0,33305.0,72016.0,147416.0,128173.0,67023.0,61041.0,53557.0,61567.0,61221.0,63321.0,73168.0,102482.0,129074.0,63463.0,41607.0,40771.0,28278.0,11346.0,2766.0,5.0,2.0,0.0,127.007917,37.491897,"서초역 8번 출구, 서초대로, 서초동, 서초구, 서울, 06646, 대한민국"
33,방배,8.0,5179.0,20452.0,50312.0,113251.0,87862.0,55073.0,48385.0,51769.0,53355.0,56049.0,59157.0,67953.0,85108.0,111738.0,60128.0,42537.0,40486.0,34761.0,16605.0,4623.0,8.0,0.0,0.0,126.997596,37.481426,"방배역.백석대, 효령로, 방배3동, 서초구, 서울, 06696, 대한민국"
34,사당,343.0,28974.0,107047.0,227590.0,310787.0,240082.0,165448.0,165591.0,179636.0,173080.0,175880.0,195332.0,235177.0,320398.0,428690.0,286968.0,204669.0,205098.0,185752.0,105112.0,25950.0,1328.0,0.0,0.0,126.981651,37.476955,"동작대로, 사당1동, 동작구, 서울, 08807, 대한민국"
35,낙성대,31.0,13836.0,37703.0,106975.0,175462.0,119287.0,73219.0,61043.0,67414.0,68889.0,66026.0,72697.0,85865.0,108681.0,156119.0,119750.0,79695.0,75262.0,70026.0,40135.0,12081.0,102.0,0.0,0.0,126.963693,37.47693,"낙성대, 지하 1928, 남부순환로, 인헌동, 관악구, 서울, 08767, 대한민국"
36,서울대입구,4464.0,31315.0,57366.0,159577.0,253834.0,191334.0,125450.0,103854.0,118011.0,124079.0,118977.0,132187.0,153202.0,196762.0,271146.0,206831.0,134769.0,131312.0,120183.0,68395.0,22933.0,3847.0,0.0,0.0,126.952739,37.481247,"서울대입구(관악구청), 관악로, 행운동, 관악구, 서울, 08787, 대한민국"
37,봉천,62.0,16527.0,34652.0,96514.0,155896.0,97746.0,61339.0,54741.0,58499.0,60016.0,57814.0,65422.0,73895.0,87085.0,121642.0,95104.0,60314.0,56663.0,49570.0,27648.0,9063.0,368.0,0.0,0.0,126.941892,37.482362,"봉천, 남부순환로, 청룡동, 관악구, 서울, 08787, 대한민국"
38,신림,316.0,44025.0,92732.0,227864.0,352897.0,230655.0,139039.0,124405.0,135576.0,138799.0,138531.0,156016.0,181125.0,225474.0,330329.0,273831.0,178735.0,168912.0,151062.0,91286.0,28112.0,381.0,2.0,0.0,126.9296159,37.4849266,"SK허브그린, 344, 신림로, 신림동, 관악구, 서울, 08754, 대한민국"
39,신대방,181.0,27371.0,45095.0,108531.0,166736.0,104280.0,62906.0,53618.0,56599.0,58352.0,56966.0,66772.0,77197.0,97037.0,131161.0,105485.0,70273.0,70448.0,64273.0,34444.0,10100.0,223.0,0.0,0.0,126.913149,37.487462,"신대방역 1번출구, 도림천 자전거길, 조원동, 관악구, 서울, 08391, 대한민국"
40,구로디지털단지,321.0,43697.0,73512.0,222581.0,439695.0,269429.0,129421.0,105892.0,112666.0,123387.0,117210.0,131104.0,160128.0,249660.0,397975.0,247139.0,151456.0,140934.0,121577.0,62852.0,17465.0,241.0,0.0,0.0,126.901401,37.485266,"구로디지털단지, 477, 도림천로, 대림2동, 영등포구, 서울, 08391, 대한민국"
41,대림,883.0,49333.0,54395.0,112986.0,196701.0,130273.0,93835.0,91679.0,92847.0,94899.0,92863.0,103699.0,121324.0,150765.0,168890.0,110500.0,78635.0,82774.0,71153.0,33211.0,8492.0,211.0,0.0,0.0,126.897075,37.493013,"대림(구로구청)역 12번출구, 도림로, 대림2동, 영등포구, 서울, 07417, 대한민국"
42,신도림,4547.0,43312.0,80390.0,201012.0,295618.0,185222.0,135798.0,127335.0,140651.0,149885.0,144363.0,160029.0,184866.0,245322.0,341729.0,218143.0,143092.0,143803.0,124691.0,71650.0,25658.0,2963.0,0.0,0.0,126.891144,37.508787,"신도림, 경인로, 신도림동, 구로구, 서울, 08209, 대한민국"
43,문래,3.0,6078.0,24740.0,80626.0,179224.0,93565.0,47574.0,42994.0,49175.0,51000.0,49198.0,53935.0,65666.0,99720.0,169374.0,79314.0,47798.0,46872.0,37332.0,20150.0,5689.0,106.0,0.0,0.0,126.89476,37.517933,"문래, 28, 당산로, 문래창작촌, 문래동, 영등포구, 서울, 07290, 대한민국"
44,영등포구청,49.0,10670.0,32189.0,91105.0,215051.0,106161.0,58650.0,56897.0,60144.0,64122.0,64472.0,67913.0,80631.0,112816.0,198529.0,86771.0,56978.0,52575.0,42171.0,22717.0,6930.0,145.0,0.0,0.0,126.89503,37.5242,"양산로, 당산1동, 영등포구, 서울, 07265, 대한민국"
45,당산,102.0,19870.0,55142.0,149203.0,251836.0,139403.0,88888.0,86516.0,94155.0,96288.0,93101.0,102424.0,122816.0,180195.0,262699.0,158288.0,107657.0,104910.0,93593.0,52912.0,13971.0,378.0,0.0,0.0,126.902809,37.533406,"당산, 40, 양평로, 당산2동, 영등포구, 서울, 07214, 대한민국"
46,합정,108.0,17820.0,46234.0,109083.0,221896.0,174368.0,110428.0,110959.0,121697.0,136914.0,133584.0,141379.0,166938.0,224895.0,329632.0,215774.0,143496.0,146199.0,129830.0,72529.0,18835.0,208.0,0.0,0.0,126.913366,37.549209,"양화로, 합정동, 마포구, 서울, 04072, 대한민국"
47,홍대입구,992.0,32999.0,56765.0,126972.0,241711.0,245818.0,185011.0,199158.0,233929.0,261620.0,259473.0,285425.0,339719.0,419092.0,510235.0,367392.0,278810.0,294220.0,270609.0,148586.0,31795.0,1946.0,0.0,0.0,126.926715,37.557438,"홀리데이인 익스프레스, 190-1, 신촌로2길, 홍대거리, 서교동, 동교동, 서울, 04056, 대한민국"
48,신촌,100.0,10617.0,31983.0,79090.0,153709.0,146488.0,113564.0,109585.0,124757.0,134581.0,127333.0,133089.0,158183.0,200038.0,231373.0,151123.0,115766.0,117608.0,108155.0,59984.0,15837.0,195.0,0.0,0.0,126.942597,37.559733,"2, 이화여대길, 신촌동, 서대문구, 서울, 03766, 대한민국"
49,이대,51.0,4437.0,16061.0,42270.0,81488.0,78780.0,58110.0,47794.0,62196.0,61697.0,52972.0,63329.0,67658.0,87382.0,93088.0,58752.0,44817.0,45855.0,38422.0,21498.0,5548.0,124.0,0.0,0.0,126.946013,37.556733,"신촌로, 11통, 아현동, 마포구, 서울, 04116, 대한민국"
50,아현,35.0,5716.0,16629.0,41467.0,65404.0,39384.0,28986.0,27029.0,30125.0,30727.0,30396.0,32925.0,41570.0,46475.0,55966.0,37294.0,26213.0,23669.0,19332.0,10434.0,3269.0,47.0,0.0,0.0,126.956141,37.557345,"아현역 4번출구, 신촌로, 11통, 아현동, 마포구, 서울, 04116, 대한민국"
51,충정로,68.0,5483.0,18479.0,55773.0,133785.0,64863.0,34145.0,32859.0,32215.0,36552.0,37033.0,37039.0,44691.0,70860.0,112873.0,44648.0,29696.0,28476.0,23159.0,12576.0,3735.0,145.0,0.0,0.0,126.9629,37.560236,"충정로역, 충정로, 충현동, 서대문구, 서울, 03737, 대한민국"
52,용답,1.0,2571.0,4699.0,10314.0,19371.0,14439.0,8920.0,7591.0,8500.0,9860.0,8410.0,9414.0,13249.0,13490.0,16271.0,10206.0,6939.0,7352.0,6612.0,3713.0,1225.0,0.0,0.0,0.0,127.050899,37.561904,"용답, 86, 용답길, 용답동, 성동구, 서울, 04809, 대한민국"
53,신답,10.0,1398.0,2428.0,7524.0,14757.0,6353.0,3754.0,3341.0,3532.0,3652.0,3744.0,4629.0,5735.0,7009.0,12724.0,8234.0,4230.0,4285.0,3246.0,2122.0,627.0,3.0,0.0,0.0,127.046481,37.57004,"신답, 천호대로, 용답동, 성동구, 서울, 02597, 대한민국"
54,도림천,2.0,658.0,2233.0,7627.0,10009.0,4888.0,3457.0,2878.0,4139.0,3320.0,3698.0,3829.0,5303.0,5286.0,7139.0,4378.0,2625.0,2232.0,1591.0,1034.0,371.0,6.0,2.0,0.0,126.882768,37.514287,"도림천역 1번출구, 경인로67길, 신도림동, 구로구, 서울, 08201, 대한민국"
55,양천구청,24.0,5908.0,14166.0,40490.0,43813.0,24344.0,17008.0,16046.0,17777.0,17906.0,17024.0,18833.0,22749.0,29974.0,40797.0,29850.0,17207.0,15796.0,13200.0,8669.0,2792.0,66.0,1.0,0.0,126.865819,37.512398,"양천구청, 목동로3길, 신정7동, 양천구, 서울, 08102, 대한민국"
56,신정네거리,84.0,9771.0,21886.0,57881.0,61375.0,35374.0,24919.0,24004.0,25673.0,27192.0,24741.0,28686.0,35908.0,44343.0,61708.0,44740.0,25305.0,24975.0,20029.0,11923.0,3244.0,295.0,3.0,0.0,126.852912,37.520074,"신정네거리, 중앙로, 신정3동, 양천구, 서울, 08077, 대한민국"
57,용두,35.0,1510.0,2522.0,7645.0,15970.0,8691.0,7006.0,7379.0,7229.0,8560.0,8543.0,9416.0,9234.0,9807.0,13727.0,7805.0,4585.0,4472.0,3154.0,1883.0,636.0,16.0,1.0,0.0,127.038091,37.574028,"동대문구청, 고산자로, 용신동, 동대문구, 서울, 02567, 대한민국"
58,지축,13.0,3943.0,16864.0,33957.0,34440.0,19428.0,13935.0,12528.0,13706.0,14408.0,13602.0,16671.0,23520.0,24495.0,31228.0,24068.0,15636.0,12995.0,11244.0,6103.0,1175.0,0.0,0.0,0.0,126.91397,37.648017,"지축, 지효로, 효자동, 덕양구, 고양시, 경기도, 10583, 대한민국"
59,구파발,122.0,12631.0,42609.0,114150.0,114614.0,76777.0,59147.0,54033.0,56238.0,57681.0,58412.0,62511.0,77400.0,82952.0,106616.0,84304.0,50929.0,44539.0,37762.0,21827.0,8688.0,438.0,0.0,0.0,126.918821,37.636763,"구파발, 진관2로, 진관동, 은평구, 서울, 03306, 대한민국"
60,연신내,253.0,28819.0,63594.0,155214.0,190686.0,128419.0,92679.0,88016.0,99986.0,96447.0,94577.0,104902.0,127892.0,138249.0,185753.0,150158.0,92661.0,82316.0,70424.0,41364.0,12894.0,77.0,0.0,0.0,126.920625,37.618636,"연신내역6번출구, 연서로, 갈현1동, 은평구, 서울, 03344, 대한민국"
61,불광,43.0,13081.0,31284.0,79093.0,116337.0,83167.0,62698.0,59185.0,64704.0,68791.0,68093.0,75250.0,82559.0,91498.0,117336.0,80742.0,50985.0,44247.0,34997.0,18670.0,5885.0,2.0,0.0,0.0,126.92939,37.610873,"불광, 불광로, 대조동, 은평구, 서울, 03397, 대한민국"
